5 0.142857 0.061839
6 0.250000 0.110248
7 0.200000 0.087462
8 0.100000 0.042939
9 0.090909 0.038966
10 0.125000 0.053929
11 0.111111 0.047811
12 0.071429 0.030499
13 0.066667 0.028439
14 0.083333 0.035666
15 0.076923 0.032881
16 0.055556 0.023646
17 0.052632 0.022388
18 0.062500 0.026639
19 0.058824 0.025054
20 0.045455 0.019307
21 0.043478 0.018460
22 0.050000 0.021257
23 0.047619 0.020235
24 0.038462 0.016313
25 0.037037 0.015705
26 0.041667 0.017684
27 0.040000 0.016971
28 0.033333 0.014123
29 0.032258 0.013665
30 0.035714 0.015140
